subsystem,p<0.05_Pos_d<0,p<0.05_Pos_d>0,p<0.05_Neg_d<0,p<0.05_Neg_d>0
Alanine and aspartate metabolism,10,0,2,0
Aminosugar metabolism,15,0,1,0
Androgen and estrogen synthesis and metabolism,1,0,1,0
Arachidonic acid metabolism,1,0,1,0
Arginine and Proline Metabolism,9,0,2,0
Bile acid synthesis,30,3,6,3
Biotin metabolism,5,0,0,0
Blood group synthesis,25,0,0,0
Butanoate metabolism,2,0,1,0
Cholesterol metabolism,24,0,6,0
Chondroitin sulfate degradation,28,0,0,0
Citric acid cycle,5,0,2,0
CoA catabolism,1,0,1,0
CoA synthesis,7,0,1,0
Cysteine Metabolism,3,0,1,0
Cytochrome metabolism,3,0,0,0
D-alanine metabolism,1,0,0,0
Eicosanoid metabolism,16,1,7,1
Fatty acid oxidation,183,1,35,1
Fatty acid synthesis,27,0,2,0
Folate metabolism,29,0,5,0
Fructose and mannose metabolism,16,1,3,0
Galactose metabolism,9,0,4,0
Glutamate metabolism,7,0,2,0
Glutathione metabolism,8,0,1,0
Glycerophospholipid metabolism,29,0,5,0
"Glycine, serine, alanine and threonine metabolism",9,0,2,0
Glycolysis/gluconeogenesis,22,1,9,0
Glycosphingolipid metabolism,2,0,0,0
Glyoxylate and dicarboxylate metabolism,5,0,0,0
Heme degradation,2,0,0,0
Heme synthesis,3,0,0,0
Heparan sulfate degradation,24,0,0,0
Histidine metabolism,6,0,0,0
Hyaluronan metabolism,5,0,0,0
Inositol phosphate metabolism,23,0,0,0
Keratan sulfate degradation,60,0,0,0
Keratan sulfate synthesis,41,0,0,0
Limonene and pinene degradation,3,0,0,0
Lysine metabolism,7,0,1,0
Methionine and cysteine metabolism,6,0,4,0
Miscellaneous,15,0,2,0
N-glycan degradation,12,0,0,0
N-glycan synthesis,61,0,0,0
NAD metabolism,12,0,4,0
Nucleotide interconversion,56,39,17,36
Nucleotide salvage pathway,3,0,0,0
O-glycan synthesis,9,0,0,0
Other,5,0,1,0
Oxidative phosphorylation,4,0,0,0
Pentose phosphate pathway,16,1,8,0
Phenylalanine metabolism,3,0,1,0
Phosphatidylinositol phosphate metabolism,17,0,7,0
Propanoate metabolism,8,0,2,0
Purine catabolism,21,0,6,0
Purine synthesis,6,0,2,0
Pyrimidine catabolism,16,0,8,0
Pyrimidine synthesis,9,2,7,1
Pyruvate metabolism,17,0,2,0
ROS detoxification,6,0,0,0
Sphingolipid metabolism,39,0,2,0
Starch and sucrose metabolism,7,0,0,0
Steroid metabolism,34,0,0,0
Taurine and hypotaurine metabolism,5,0,1,0
Tetrahydrobiopterin metabolism,8,0,5,0
Thiamine metabolism,2,0,0,0
"Transport, extracellular",7,0,1,0
"Transport, lysosomal",1,0,0,0
"Transport, mitochondrial",5,0,0,0
"Transport, nuclear",1,0,1,0
"Transport, peroxisomal",0,0,1,0
Triacylglycerol synthesis,7,0,0,0
Tryptophan metabolism,14,0,1,0
Tyrosine metabolism,31,0,3,0
Ubiquinone synthesis,1,0,0,0
Unassigned,55,0,13,1
Urea cycle,22,0,3,0
"Valine, leucine, and isoleucine metabolism",21,0,10,0
Vitamin A metabolism,8,0,3,0
Vitamin B2 metabolism,0,0,1,0
Vitamin B6 metabolism,5,0,2,0
Vitamin C metabolism,0,0,0,0
beta-Alanine metabolism,2,0,0,0
